curator_name,curator_url,playlist_id,playlist_name,playlist_url,followers,total_tracks,description,image_url,public,top_genres,primary_genre,genre_diversity,unique_artists,avg_artist_popularity,avg_artist_followers
Filtr US,https://open.spotify.com/user/myplay.com,07fouBE2kZPmvOcZ5zPh7y,Relax and Discover | Chill Soft Pop,https://open.spotify.com/playlist/07fouBE2kZPmvOcZ5zPh7y,35507,251,"Relaxing doesn’t mean falling behind. Chill out with Hozier, Luke Combs + more. | Indie Folk Indie-Folk Adult Contemporary Hot AC Alternative Soft Pop | Cover: Mitchell Tenpenny",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da843ec939598a8b397eff3308b6,True,"[nan, 'country', 'bedroom pop', 'alternative r&b', 'folk pop']",,93,205,53.51063829787234,2319461.3262411347
Filtr US,https://open.spotify.com/user/myplay.com,0BNWcx0NYbeOaqyiNlMYpE,Upbeat Christmas Classics 🎄,https://open.spotify.com/playlist/0BNWcx0NYbeOaqyiNlMYpE,11747,159,Christmas | Christmas Songs | Classic Christmas | Christmas Classics | Xmas | Vintage Christmas | Holiday Music | Holiday | Holiday Songs | Best Christmas | Traditional Christmas | Old Christmas | Christmas Oldies,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da8411e774142193146a6394d36b,True,"[nan, 'christmas', 'pop', 'country', 'r&b']",,53,121,67.93877551020408,8821339.127551021
Filtr US,https://open.spotify.com/user/myplay.com,0BbSD5DoiacoEglRy7oVjQ,Christmas Country Classics 🎄,https://open.spotify.com/playlist/0BbSD5DoiacoEglRy7oVjQ,388,150,Country Christmas | Christmas Songs | Christmas Music | Country Music | Southern | Country Songs | Country Hits | 2025 | Christmas | Holiday,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da845e37e2175693666fd2c62d60,True,"['country', 'classic country', 'traditional country', 'christian country', nan]",country,35,93,59.0,2375167.005263158
Filtr US,https://open.spotify.com/user/myplay.com,0J6Afuxzt2Vk8YErKl1aVR,GETTING READY  🎀💄,https://open.spotify.com/playlist/0J6Afuxzt2Vk8YErKl1aVR,36107,206,"Pregame, get ready with me, halloween, halloweekend, GRWM, hype songs, hot girl era, THAT girl, IT girl, glow up, self care, Tate McRae, Beyonce,  Tyla, Doja Cat, SZA",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84fd20277c1f26f2ba1d8b4e7e,True,"[nan, 'pop', 'r&b', 'alternative r&b', 'rap']",,35,106,81.06719367588933,26058516.90909091
Filtr US,https://open.spotify.com/user/myplay.com,0JFatPoPq82gNcPa4esOzj,TikTok songs you can't get out of your head | 2025 TikTok songs & viral hits,https://open.spotify.com/playlist/0JFatPoPq82gNcPa4esOzj,1144312,102,tiktok songs tik tok songs viral hits tiktok music tik tok music | cover: Tyla,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84a5a202e699297b54e1195144,True,"[nan, 'r&b', 'rap', 'k-pop', 'hip hop']",,41,94,80.91538461538461,17750062.084615383
Filtr US,https://open.spotify.com/user/myplay.com,0LTwFpF7LPnXteJ5wFtckx,1950s Christmas Classics,https://open.spotify.com/playlist/0LTwFpF7LPnXteJ5wFtckx,17,80,Classic Christmas | 50s Christmas | Vintage Christmas | Old Christmas | Christmas | Holiday | Christmas Oldies | Nostalgic Christmas | Christmas Songs | Christmas Music | Best Christmas | 1940s | 1950s | 1960s | Classic,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842ed22fdbfdbd1475acdf241c,True,"['christmas', 'big band', 'adult standards', 'vocal jazz', 'orchestral']",christmas,27,50,53.971698113207545,1617939.5566037735
Filtr US,https://open.spotify.com/user/myplay.com,0RB7cwb9JoTTiGaXO4V0jQ,Christmas Music 2025,https://open.spotify.com/playlist/0RB7cwb9JoTTiGaXO4V0jQ,678,263,"All your Christmas favorites by Mariah Carey, Pentatonix, Elvis, Wham!, John Legend, Kelly Clarkson, and Andy Williams.",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8417d5f2cc5e4f5dbef58d14a1,True,"['christmas', nan, 'adult standards', 'big band', 'vocal jazz']",christmas,67,140,66.96485623003196,4751977.057507987
Filtr US,https://open.spotify.com/user/myplay.com,0VkhN48djiq7VMzTc2nuZ9,College 101,https://open.spotify.com/playlist/0VkhN48djiq7VMzTc2nuZ9,35653,131,"Perfect for your pre-game or after-party featuring hits from Travis Scott, Lil Nas X, and Doja Cat | Cover: Cochise",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84102a9bea62ab79acd7b0a963,True,"[nan, 'rap', 'drill', 'chicago drill', 'reggaeton']",,63,134,70.63849765258216,13626781.408450704
Filtr US,https://open.spotify.com/user/myplay.com,0YMVY3uhQNd7WUf0hSByrX,throwback bangers (90s - 2010s),https://open.spotify.com/playlist/0YMVY3uhQNd7WUf0hSByrX,309418,128,throwback hits | 1990s | 2000s | Y2K | 10s | pop | nostalgia | throwback jams | top throwback hits | 2000s hits | party | tlc | destiny's child | christina aguilera | usher | t-pain | chris brown | mariah carey | fugees | nelly furtado | beyonce | justin timberlake | nsync | one direction,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da8494d11bfbfb0995a15a9d1941,True,"[nan, 'r&b', 'southern hip hop', 'east coast hip hop', 'hip hop']",,33,113,70.75141242937853,7857950.966101695
Filtr US,https://open.spotify.com/user/myplay.com,0ZKUgaB3lQ5F3ooRoMdFdI,Old Christmas Classics 🎄,https://open.spotify.com/playlist/0ZKUgaB3lQ5F3ooRoMdFdI,29619,159,Classic Christmas | Vintage Christmas | Old Christmas | Christmas | Holiday | Christmas Oldies | Nostalgic Christmas | Christmas Songs | Christmas Music | Best Christmas | 1940s | 1950s | 1960s | Classic,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da843410c6dff0c77e4af56e6876,True,"['christmas', 'adult standards', 'big band', 'swing music', 'vocal jazz']",christmas,34,57,64.21649484536083,1697052.7577319588
Filtr US,https://open.spotify.com/user/myplay.com,0ZjPyJzy3zNaDsLEpDyMO0,Dinner Party Essentials 2025 🍽️,https://open.spotify.com/playlist/0ZjPyJzy3zNaDsLEpDyMO0,44650,145,We cooked a mean playlist 🍽️ Chill Feel Good Dinner Party Mix Music Friends Wine Vibes Thanksgiving Friendsgiving ,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da8421aea86d996e186c5f0b684e,True,"[nan, 'country', 'moombahton', 'r&b', 'soft pop']",,59,148,70.05288461538461,9738084.903846154
Filtr US,https://open.spotify.com/user/myplay.com,0bx5Dgu5yOEhST49LP67su,Lowkey Flex,https://open.spotify.com/playlist/0bx5Dgu5yOEhST49LP67su,36596,61,"New Music from Nas, Monaleo, and Boldy James! Cover: Rich Brian",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f54331b6bb99e9893c985afc,True,"[nan, 'experimental hip hop', 'drill', 'uk drill', 'boom bap']",,62,99,51.84126984126984,1981154.7063492064
Filtr US,https://open.spotify.com/user/myplay.com,0cWTrwtznelk5VkuJk6tQW,sad songs for sad girls 😔💔,https://open.spotify.com/playlist/0cWTrwtznelk5VkuJk6tQW,14742,122,sad girl hour for the girls in my feels extremely gut wrenching violently sobbing crying screaming  hauntingly tragic absolutely devastating painful soul crushing sad songs,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84ff22105f51569a0633e86bb0,True,"[nan, 'soft pop', 'r&b', 'pop', 'bedroom pop']",,19,103,74.42647058823529,15825119.823529411
Filtr US,https://open.spotify.com/user/myplay.com,0izxdmHoS8KbXa0nOYrdbF,It's The Most Wonderful Time Of The Year + More Christmas Songs,https://open.spotify.com/playlist/0izxdmHoS8KbXa0nOYrdbF,14696,148,"&quot;It's The Most Wonderful Time Of The Year&quot; and all your Christmas favorites by Mariah Carey, Pentatonix, Elvis, Wham!, John Legend, Kelly Clarkson, and Andy Williams.",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8491344d243ae01b45131917ad,True,"['christmas', nan, 'adult standards', 'big band', 'jazz']",christmas,60,105,67.17142857142858,4207045.52
Filtr US,https://open.spotify.com/user/myplay.com,0pSWaN7iAWgFUcMdpuSAvn,1940s Christmas Classics,https://open.spotify.com/playlist/0pSWaN7iAWgFUcMdpuSAvn,15,100,Classic Christmas | 40s Christmas | Vintage Christmas | Old Christmas | Christmas | Holiday | Christmas Oldies | Nostalgic Christmas | Christmas Songs | Christmas Music | Best Christmas | 1940s | 1950s | 1960s | Classic,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84b9b24ca03aab1ac3b37a6df8,True,"['big band', 'christmas', 'swing music', 'adult standards', 'jazz']",big band,13,68,50.16551724137931,1138979.4206896552
Filtr US,https://open.spotify.com/user/myplay.com,0wWKlKShqCEbMGFbG2kCZX,1960s Christmas Classics,https://open.spotify.com/playlist/0wWKlKShqCEbMGFbG2kCZX,16,145,Classic Christmas | 60s Christmas | Vintage Christmas | Old Christmas | Christmas | Holiday | Christmas Oldies | Nostalgic Christmas | Christmas Songs | Christmas Music | Best Christmas | 1940s | 1950s | 1960s | Classic,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8432e08a17805ed29a6f1d2023,True,"['christmas', 'adult standards', 'big band', 'vocal jazz', 'swing music']",christmas,45,82,53.41361256544503,821830.4293193717
Filtr US,https://open.spotify.com/user/myplay.com,0yRwlQAjVyegGBn1eRwRBR,COUNTRY CHRISTMAS HITS ❄️,https://open.spotify.com/playlist/0yRwlQAjVyegGBn1eRwRBR,59486,131,Christmas Country | Christmas Songs | Christmas Music | Country Music | Southern | Country Songs | Country Hits | 2025 | Christmas | Holiday,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e63614066aaddda99cf8a19f,True,"['country', 'classic country', nan, 'christmas', 'christian country']",country,32,80,54.82716049382716,1888939.487654321
Filtr US,https://open.spotify.com/user/myplay.com,1GfuMQxvw8BcgUx0ozH3fl,workout songs for the girls 🎀🔥 ,https://open.spotify.com/playlist/1GfuMQxvw8BcgUx0ozH3fl,163740,142,time to lock in  |  workout | diva is a female version of a hustler | workout playlist | 2024 | hot gym girls playlist | hot girl summer | workout bangers | workout hits | female | women | beast mode | gym hits | high energy | songs to sweat to | hype workout | dance | pop | hip hop | r&amp;b | hot girl,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842a6a74de8ad81e16a0ca1944,True,"[nan, 'pop', 'r&b', 'reggaeton', 'art pop']",,47,112,79.01538461538462,22270856.871794872
Filtr US,https://open.spotify.com/user/myplay.com,1HlINC1PTStA2LlT3Eezkp,MOTIVATIONAL MUSIC 🏋️ GYM PLAYLIST,https://open.spotify.com/playlist/1HlINC1PTStA2LlT3Eezkp,33904,179,"Happy hits to boost your mood, get you motivated and keep you energized! 🏋️ Feel-good pick-me-ups! Motivational Music! Cover: August Moon",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b98afe9f9ad5a1a72e459aa6,True,"[nan, 'k-pop', 'slap house', 'christian', 'country']",,107,223,64.44912280701755,7422990.2245614035
Filtr US,https://open.spotify.com/user/myplay.com,1JAiKeZyrPxhoCZDjxErRu,Ultimate Christmas Playlist 🎵,https://open.spotify.com/playlist/1JAiKeZyrPxhoCZDjxErRu,18,150,Christmas | Christmas Songs | Classic Christmas | Christmas Hits | Christmas Classics | Xmas | Vintage Christmas | Holiday Music | Holiday | Holiday Songs | Best Christmas | Traditional Christmas | Old Christmas | Christmas Oldies,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84335f822c213af2ec3926db2a,True,"[nan, 'christmas', 'r&b', 'soft pop', 'neo soul']",,54,115,66.95897435897436,12330692.81025641
Filtr US,https://open.spotify.com/user/myplay.com,1TBL5HI0fRxAZhndDhjvw5,90s and 2000s Throwbacks: Popstruck 🦋 💖 🎧,https://open.spotify.com/playlist/1TBL5HI0fRxAZhndDhjvw5,841,169,Put on your cargo pants jam out to all the classics with this 90s-2000s throwback essentials playlist! Let nostalgia take you on a ride with this mix of all the top Y2K hits ☁︎,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da849e6f3e76320b9d2d74d86b69,True,"[nan, 'pop', 'r&b', 'christmas', 'southern hip hop']",,29,89,77.48325358851675,16302518.511961723
Filtr US,https://open.spotify.com/user/myplay.com,1bITtFrlPY17DETjQssYQh,Indie Vibes - New Alternative Tracks,https://open.spotify.com/playlist/1bITtFrlPY17DETjQssYQh,32461,107,"Indie, Alternative, and more between feat. Jungle Back On 74 &amp; Djo | New Indie Pop Indie Rock Vibes Indie Bands 2024 | Cover: Beach Weather",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a9fd47e5ec74e27a4a0c3bbf,True,"[nan, 'indie', 'bedroom pop', 'indie rock', 'baroque pop']",,21,78,54.2212389380531,1221408.3982300884
Filtr US,https://open.spotify.com/user/myplay.com,1eiyaQTRfcYowVFcyvmrQh,Afro Music 2025🔥 Afrobeats & Afropop Vibes,https://open.spotify.com/playlist/1eiyaQTRfcYowVFcyvmrQh,19843,102,"Afro sounds across the diaspora 🌴 Best Afrobeats Summer 🌍 Afrobeat Hits Playlist  🎶 Afromusic 🌴 Afro pop  🔥 Amapiano 🌍 Feat. Tyla, Davido, Oxlade, Tems, Wizkid, Libianca &amp; More 🎶 Cover: Tems",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84fdeeeb65a416bc41aba4c548,True,"['afrobeats', 'afrobeat', 'afropop', 'afropiano', 'afro r&b']",afrobeats,71,110,61.77245508982036,3492132.5928143715
Filtr US,https://open.spotify.com/user/myplay.com,1h90L3LP8kAJ7KGjCV2Xfd,Feel Good 🤩 Happy Hits,https://open.spotify.com/playlist/1h90L3LP8kAJ7KGjCV2Xfd,289249,255,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84ede96aa2c878d1c30c25fac9,True,"[nan, 'latin', 'country', 'reggaeton', 'latin pop']",,118,256,62.44648318042813,6025976.226299694
Filtr US,https://open.spotify.com/user/myplay.com,1hmo2SMw2oyEVKvsveTi8y,Work From Home,https://open.spotify.com/playlist/1hmo2SMw2oyEVKvsveTi8y,33377,87,"Working from home never sounded better. All the jams you need to stay sane while working remotely, ft. <a href=""https://open.spotify.com/artist/1l8Fu6IkuTP0U5QetQJ5Xt?si=UOX9TN8YToW0WCIV5jFZyw"">Fifth Harmony</a>, <a href=""https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny?si=jNFScz6OQ1OC9xyLpo2bKg"">Khalid</a>, <a href=""https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14?si=PL0PjAmuQEezFRqVKHGurQ"">John Mayer</a> &amp; more.",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84c3512d34ef8ad6c3af405da7,True,"[nan, 'rap', 'r&b', 'country', 'singer-songwriter']",,43,107,73.02362204724409,14057722.787401576
Filtr US,https://open.spotify.com/user/myplay.com,1lCxPgDJMLU0rItXniVaEh,Study Vibes,https://open.spotify.com/playlist/1lCxPgDJMLU0rItXniVaEh,248541,84,"Let your mind unwind with these chilled electronic tracks that will help you focus when you need to. Follow <a href=""http://open.spotify.com/user/ultramusicofficial"">Ultra Records</a> and <a href=""http://open.spotify.com/user/myplay.com"">Filtr</a> to get more playlists, updated daily!",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c8fc6934718adec57e5facc06,True,"[nan, 'lo-fi', 'lo-fi beats', 'jazz beats', 'lo-fi hip hop']",,27,90,32.442477876106196,50137.77876106195
Filtr US,https://open.spotify.com/user/myplay.com,1o2NQfGZvOdn6DhpuknKST,RADIANT ,https://open.spotify.com/playlist/1o2NQfGZvOdn6DhpuknKST,21498,214,"Women run the world! Celebrate Womens History Month with a playlist of female-centered pop, rock, and everything in between. Cover: Megan Moroney",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da840f71d1421e7c80112ce7f493,True,"[nan, 'afrobeats', 'country', 'bedroom pop', 'k-pop']",,46,149,54.84873949579832,2739464.3403361347
Filtr US,https://open.spotify.com/user/myplay.com,1y0LvVp2ww6nwA0lR0zkyy,Women In Country 🤍,https://open.spotify.com/playlist/1y0LvVp2ww6nwA0lR0zkyy,22085,152,"Dive into classic + modern country hits from iconic female artists including Martina McBride, Dolly Parton, Gretchen Wilson, Maren Morris, Megan Moroney, Carrie Underwood, Tanya Tucker, Miranda Lambert + Lainey Wilson.",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8419ddf5ced5400ca7506cc333,True,"['country', 'classic country', nan, 'traditional country', 'pop country']",country,13,74,61.922222222222224,1651119.2777777778
Filtr US,https://open.spotify.com/user/myplay.com,22ODrmuX1GWNIVWDfyMrxL,Traditional Christmas Music,https://open.spotify.com/playlist/22ODrmuX1GWNIVWDfyMrxL,32014,168,"This nostalgic Christmas playlist has all the classics: Frank Sinatra, Elvis Presley, Perry Como, Eartha Kitt and more of your old-fashioned holiday favorites! Chrustmas",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84cbfd95b3779416ac056cd80c,True,"['christmas', 'adult standards', 'big band', 'vocal jazz', 'swing music']",christmas,45,79,59.785714285714285,1791503.4732142857
Filtr US,https://open.spotify.com/user/myplay.com,23THfIHdgMCAwVuoDHH5lO,christmas time sadness :/,https://open.spotify.com/playlist/23THfIHdgMCAwVuoDHH5lO,69,104,"From heartbreak to loneliness, these tracks provide a soothing soundtrack to accompany your winter blues. Curl up by the fire, sip on some hot cocoa and let these calming tracks wrap you in a warm and comforting embrace.",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8459bd960fa77dee67c2eb0449,True,"[nan, 'christmas', 'adult standards', 'big band', 'jazz']",,58,91,62.15,3109938.7666666666
Filtr US,https://open.spotify.com/user/myplay.com,27YGNpO09soYvkeF54YQgq,Holiday Hits 🎄,https://open.spotify.com/playlist/27YGNpO09soYvkeF54YQgq,11,150,Christmas | Christmas Songs | Classic Christmas | Christmas Hits | Christmas Classics | Xmas | Vintage Christmas | Holiday Music | Holiday | Holiday Songs | Best Christmas | Traditional Christmas | Old Christmas | Christmas Oldies,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e019c7ad57c9f85677fd02f3,True,"[nan, 'christmas', 'neo soul', 'country', 'pop']",,43,112,65.83798882681565,12426422.508379888
